dataset,entropy_bits,seq_length,n_rules_total,n_nonterminals,grammar_size,compression_ratio,saved_symbols,depth_mean,depth_max,depth_std,span_length_mean,span_length_max,usage_mean,usage_max
Cordyceps_militari_Adamatzky_2021,0.0006420922664416,50000,2,1,33337,1.4998350181480038,16663,1.0,1,0.0,2.0,2,33330.0,33330
Enoki_Flammulina_Adamatzky_2021,0.4988291336778888,50000,11,10,33347,1.4993852520466608,16653,1.3,2,0.45825756949558405,0.9,2,3333.5,23855
GhostFungi_Omphalotus_Adamatzky_2021,0.0003410464217656,50000,2,1,33336,1.499880009599232,16664,1.0,1,0.0,2.0,2,33332.0,33332
Schizophyllum_Adamatzky_2021,0.0158577276231789,50000,90,89,33413,1.4964235477209469,16587,1.4606741573033708,3,0.6006771417808386,0.5056179775280899,2,374.55056179775283,4633
Schizophyllum_Chowdhury_2025_fast,2.321928094887362,50000,6,5,33345,1.49947518368571,16655,1.0,1,0.0,2.0,2,6666.0,6666
